 n                         2^n             p                           q
220  1,684,996,666,696,914,987,166,688,442,938,726,917,102,321,526,408,785,780,068,975,640,576           167  1,684,996,666,696,914,987,166,688,442,938,726,917,102,321,526,408,785,780,068,975,640,409
221  3,369,993,333,393,829,974,333,376,885,877,453,834,204,643,052,817,571,560,137,951,281,152             3  3,369,993,333,393,829,974,333,376,885,877,453,834,204,643,052,817,571,560,137,951,281,149
222  6,739,986,666,787,659,948,666,753,771,754,907,668,409,286,105,635,143,120,275,902,562,304           263  6,739,986,666,787,659,948,666,753,771,754,907,668,409,286,105,635,143,120,275,902,562,041
223  13,479,973,333,575,319,897,333,507,543,509,815,336,818,572,211,270,286,240,551,805,124,608         1,621  13,479,973,333,575,319,897,333,507,543,509,815,336,818,572,211,270,286,240,551,805,122,987
224  26,959,946,667,150,639,794,667,015,087,019,630,673,637,144,422,540,572,481,103,610,249,216           719  26,959,946,667,150,639,794,667,015,087,019,630,673,637,144,422,540,572,481,103,610,248,497
225  53,919,893,334,301,279,589,334,030,174,039,261,347,274,288,845,081,144,962,207,220,498,432           103  53,919,893,334,301,279,589,334,030,174,039,261,347,274,288,845,081,144,962,207,220,498,329
226  107,839,786,668,602,559,178,668,060,348,078,522,694,548,577,690,162,289,924,414,440,996,864             5  107,839,786,668,602,559,178,668,060,348,078,522,694,548,577,690,162,289,924,414,440,996,859
227  215,679,573,337,205,118,357,336,120,696,157,045,389,097,155,380,324,579,848,828,881,993,728         2,017  215,679,573,337,205,118,357,336,120,696,157,045,389,097,155,380,324,579,848,828,881,991,711
228  431,359,146,674,410,236,714,672,241,392,314,090,778,194,310,760,649,159,697,657,763,987,456           149  431,359,146,674,410,236,714,672,241,392,314,090,778,194,310,760,649,159,697,657,763,987,307
229  862,718,293,348,820,473,429,344,482,784,628,181,556,388,621,521,298,319,395,315,527,974,912           733  862,718,293,348,820,473,429,344,482,784,628,181,556,388,621,521,298,319,395,315,527,974,179
230  1,725,436,586,697,640,946,858,688,965,569,256,363,112,777,243,042,596,638,790,631,055,949,824         2,063  1,725,436,586,697,640,946,858,688,965,569,256,363,112,777,243,042,596,638,790,631,055,947,761
231  3,450,873,173,395,281,893,717,377,931,138,512,726,225,554,486,085,193,277,581,262,111,899,648           439  3,450,873,173,395,281,893,717,377,931,138,512,726,225,554,486,085,193,277,581,262,111,899,209
232  6,901,746,346,790,563,787,434,755,862,277,025,452,451,108,972,170,386,555,162,524,223,799,296         1,163  6,901,746,346,790,563,787,434,755,862,277,025,452,451,108,972,170,386,555,162,524,223,798,133
233  13,803,492,693,581,127,574,869,511,724,554,050,904,902,217,944,340,773,110,325,048,447,598,592             3  13,803,492,693,581,127,574,869,511,724,554,050,904,902,217,944,340,773,110,325,048,447,598,589
234  27,606,985,387,162,255,149,739,023,449,108,101,809,804,435,888,681,546,220,650,096,895,197,184            83  27,606,985,387,162,255,149,739,023,449,108,101,809,804,435,888,681,546,220,650,096,895,197,101
235  55,213,970,774,324,510,299,478,046,898,216,203,619,608,871,777,363,092,441,300,193,790,394,368           151  55,213,970,774,324,510,299,478,046,898,216,203,619,608,871,777,363,092,441,300,193,790,394,217
236  110,427,941,548,649,020,598,956,093,796,432,407,239,217,743,554,726,184,882,600,387,580,788,736           569  110,427,941,548,649,020,598,956,093,796,432,407,239,217,743,554,726,184,882,600,387,580,788,167
237  220,855,883,097,298,041,197,912,187,592,864,814,478,435,487,109,452,369,765,200,775,161,577,472           181  220,855,883,097,298,041,197,912,187,592,864,814,478,435,487,109,452,369,765,200,775,161,577,291
238  441,711,766,194,596,082,395,824,375,185,729,628,956,870,974,218,904,739,530,401,550,323,154,944           383  441,711,766,194,596,082,395,824,375,185,729,628,956,870,974,218,904,739,530,401,550,323,154,561
239  883,423,532,389,192,164,791,648,750,371,459,257,913,741,948,437,809,479,060,803,100,646,309,888           199  883,423,532,389,192,164,791,648,750,371,459,257,913,741,948,437,809,479,060,803,100,646,309,689
240  1,766,847,064,778,384,329,583,297,500,742,918,515,827,483,896,875,618,958,121,606,201,292,619,776           467  1,766,847,064,778,384,329,583,297,500,742,918,515,827,483,896,875,618,958,121,606,201,292,619,309
241  3,533,694,129,556,768,659,166,595,001,485,837,031,654,967,793,751,237,916,243,212,402,585,239,552         2,113  3,533,694,129,556,768,659,166,595,001,485,837,031,654,967,793,751,237,916,243,212,402,585,237,439
242  7,067,388,259,113,537,318,333,190,002,971,674,063,309,935,587,502,475,832,486,424,805,170,479,104           281  7,067,388,259,113,537,318,333,190,002,971,674,063,309,935,587,502,475,832,486,424,805,170,478,823
243  14,134,776,518,227,074,636,666,380,005,943,348,126,619,871,175,004,951,664,972,849,610,340,958,208            31  14,134,776,518,227,074,636,666,380,005,943,348,126,619,871,175,004,951,664,972,849,610,340,958,177
244  28,269,553,036,454,149,273,332,760,011,886,696,253,239,742,350,009,903,329,945,699,220,681,916,416         1,289  28,269,553,036,454,149,273,332,760,011,886,696,253,239,742,350,009,903,329,945,699,220,681,915,127
245  56,539,106,072,908,298,546,665,520,023,773,392,506,479,484,700,019,806,659,891,398,441,363,832,832           163  56,539,106,072,908,298,546,665,520,023,773,392,506,479,484,700,019,806,659,891,398,441,363,832,669
246  113,078,212,145,816,597,093,331,040,047,546,785,012,958,969,400,039,613,319,782,796,882,727,665,664           107  113,078,212,145,816,597,093,331,040,047,546,785,012,958,969,400,039,613,319,782,796,882,727,665,557
