Gen    1 | Best: ZJIhprRbqXTRvS!xUkS AeyEGB,m | Fitness: 5
Gen  143 | Best: MITHINnI lT IS LIKK A WEASEL | Fitness: 23
Gen  144 | Best: M.THINnG lT IS LIKt A WEASEL | Fitness: 23
Gen  145 | Best: M.THINnI lT IS LIKK A WEASEL | Fitness: 23
Gen  146 | Best: M.THINbG lT IS LIKK A WEASEL | Fitness: 23
Gen  147 | Best: M.THINnG  T IS LIKK A WEASEL | Fitness: 23
Gen  148 | Best: M.THINnO  T IS LIKK A WEASEL | Fitness: 23
Gen  149 | Best: M.THINnI  T IS LIKK A WEASEL | Fitness: 23
Gen  150 | Best: M.THINnI kT IS LIKK A WEASEL | Fitness: 23
Gen  151 | Best: M.THINnR XT IS LIKf A WEASEL | Fitness: 23
Gen  152 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  153 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  154 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  155 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  156 | Best: M.THINnS  T IS LIKB A WEASEL | Fitness: 24
Gen  157 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  158 | Best: M.THINnS  T IS LIKK A WEASEL | Fitness: 24
Gen  159 | Best: METHINnS  T IS LIKK A WEASEL | Fitness: 25
Gen  160 | Best: METHINnS  T IS LIKf A WEASEL | Fitness: 25
Gen  161 | Best: METHINnS  T IS LIKf A WEASEL | Fitness: 25
Gen  162 | Best: METHINnS  T IS LIKK A WEASEL | Fitness: 25
Gen  163 | Best: METHINnS  T IS LIKK A WEASEL | Fitness: 25
Gen  164 | Best: METHINnS  T IS LIKK A WEASEL | Fitness: 25
Gen  165 | Best: METHINnS  T IS LIKK A WEASEL | Fitness: 25
Gen  166 | Best: METHINnS  T IS LIKj A WEASEL | Fitness: 25
Gen  167 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  168 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  169 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  170 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  171 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  172 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  173 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  174 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  175 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  176 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  177 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  178 | Best: METHINnS cT IS LIKE A WEASEL | Fitness: 26
Gen  179 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  180 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  181 | Best: METHINnS BT IS LIKE A WEASEL | Fitness: 26
Gen  182 | Best: METHINZS  T IS LIKE A WEASEL | Fitness: 26
Gen  183 | Best: METHINnS GT IS LIKE A WEASEL | Fitness: 26
Gen  184 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  185 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  186 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  187 | Best: METHINnS PT IS LIKE A WEASEL | Fitness: 26
Gen  188 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  189 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  190 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  191 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  192 | Best: METHINnS VT IS LIKE A WEASEL | Fitness: 26
Gen  193 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  194 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  195 | Best: METHINnS PT IS LIKE A WEASEL | Fitness: 26
Gen  196 | Best: METHINnS PT IS LIKE A WEASEL | Fitness: 26
Gen  197 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  198 | Best: METHINnS NT IS LIKE A WEASEL | Fitness: 26
Gen  199 | Best: METHINNS  T IS LIKE A WEASEL | Fitness: 26
Gen  200 | Best: METHINnS VT IS LIKE A WEASEL | Fitness: 26
Gen  201 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  202 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  203 | Best: METHINNS  T IS LIKE A WEASEL | Fitness: 26
Gen  204 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  205 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  206 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  207 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  208 | Best: METHINnS GT IS LIKE A WEASEL | Fitness: 26
Gen  209 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  210 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  211 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  212 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  213 | Best: METHINnS yT IS LIKE A WEASEL | Fitness: 26
Gen  214 | Best: METHINnS  T IS LIKE A WEASEL | Fitness: 26
Gen  215 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  216 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  217 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  218 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  219 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  220 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  221 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  222 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  223 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  224 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  225 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  226 | Best: METHINKS  T IS LIKE A WEASEL | Fitness: 27
Gen  227 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  228 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  229 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  230 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  231 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  232 | Best: METHINKS qT IS LIKE A WEASEL | Fitness: 27
Gen  233 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  234 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  235 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  236 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  237 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  238 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  239 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  240 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  241 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  242 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  243 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  244 | Best: METHINKS VT IS LIKE A WEASEL | Fitness: 27
Gen  245 | Best: METHINKS DT IS LIKE A WEASEL | Fitness: 27
Gen  246 | Best: METHINKS DT IS LIKE A WEASEL | Fitness: 27
Gen  247 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  248 | Best: METHINKS qT IS LIKE A WEASEL | Fitness: 27
Gen  249 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  250 | Best: METHINKS DT IS LIKE A WEASEL | Fitness: 27
Gen  251 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  252 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  253 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  254 | Best: METHINKS LT IS LIKE A WEASEL | Fitness: 27
Gen  255 | Best: METHINKS DT IS LIKE A WEASEL | Fitness: 27
Gen  256 | Best: METHINKS!IT IS LIKE A WEASEL | Fitness: 27
Gen  257 | Best: METHINKS IT IS LIKE A WEASEL | Fitness: 28
Found in generation 257: METHINKS IT IS LIKE A WEASEL
